ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基,琌癟既氨ユ,ユ琿,基畉癸虫Α〆癠Θユ秖
2026/08/20,TX,202609  ,44950,45122,44448,44868,368,0.83%,53693,44903,102620,44866,44872,49651,24962,,,,
2026/08/20,TX,202609  ,44631,45196,44538,44802,302,0.68%,41519,-,-,44778,44802,49651,24962,,絃,,
2026/08/20,TX,202610  ,45116,45158,44651,45029,364,0.81%,122,45045,476,45011,45024,46789,39852,,,,
2026/08/20,TX,202610  ,44784,45330,44693,44918,253,0.57%,195,-,-,44925,44957,46789,39852,,絃,,
2026/08/20,TX,202611  ,45110,45180,44800,45150,371,0.83%,11,45150,4,45139,45152,45180,44800,,,,
2026/08/20,TX,202612  ,45349,45458,44850,45093,237,0.53%,13,45235,382,45229,45242,50228,27382,,,,
2026/08/20,TX,202612  ,44927,45500,44927,45100,244,0.54%,8,-,-,45128,45161,50228,27382,,絃,,
2026/08/20,TX,202703  ,45800,45838,45442,45442,92,0.20%,6,45664,126,45657,45672,50802,32400,,,,
2026/08/20,TX,202703  ,45738,45858,45550,45650,300,0.66%,9,-,-,45573,45622,50802,32400,,絃,,
2026/08/20,TX,202706  ,46336,46336,46000,46000,92,0.20%,3,46231,71,46221,46241,51411,41461,,,,
2026/08/20,TX,202706  ,45977,46202,45957,45957,49,0.11%,3,-,-,46128,46176,51411,41461,,絃,,
2026/08/21,TX,202609  ,44887,45294,44566,45148,245,0.55%,51446,45138,102342,45136,45149,49651,24962,,,,
2026/08/21,TX,202609  ,44982,45000,44261,44804,-99,-0.22%,41595,-,-,44780,44805,49651,24962,,絃,,
2026/08/21,TX,202610  ,45045,45423,44777,45280,235,0.52%,123,45280,500,45279,45295,46789,39852,,,,
2026/08/21,TX,202610  ,45099,45133,44440,44964,-81,-0.18%,215,-,-,44926,44957,46789,39852,,絃,,
2026/08/21,TX,202611  ,45115,45510,44915,45400,250,0.55%,30,45400,25,45395,45413,45510,44800,,,,
2026/08/21,TX,202611  ,45085,45188,44800,45100,-50,-0.11%,38,-,-,45051,45086,45188,44800,,絃,,
2026/08/21,TX,202612  ,45500,45580,45305,45305,70,0.15%,5,45508,379,45501,45515,50228,27382,,,,
2026/08/21,TX,202612  ,44890,45149,44802,45149,-86,-0.19%,4,-,-,45149,45190,50228,27382,,絃,,
2026/08/21,TX,202703  ,45664,-,-,45664,0,0.00%,2,45920,126,45909,45932,50802,32400,,,,
2026/08/21,TX,202703  ,45450,45450,45450,45450,-214,-0.47%,1,-,-,45565,45610,50802,32400,,絃,,
2026/08/21,TX,202706  ,46373,46587,46314,46368,137,0.30%,5,46481,73,46464,46499,51411,41461,,,,
2026/08/21,TX,202706  ,46231,-,-,46231,0,0.00%,2,-,-,46125,46190,51411,41461,,絃,,
2026/08/24,TX,202609  ,45032,45292,44609,44762,-376,-0.83%,43046,44740,102558,44760,44768,49651,24962,,,,
2026/08/24,TX,202609  ,45220,45474,44978,45074,-64,-0.14%,30890,-,-,45061,45076,49651,24962,,絃,,
2026/08/24,TX,202610  ,45235,45436,44783,44900,-380,-0.84%,184,44894,597,44908,44917,46789,39852,,,,
2026/08/24,TX,202610  ,45380,45599,45144,45208,-72,-0.16%,134,-,-,45208,45230,46789,39852,,絃,,
2026/08/24,TX,202611  ,45380,45498,44987,44987,-413,-0.91%,43,45040,40,45034,45047,45705,44800,,,,
2026/08/24,TX,202611  ,45660,45705,45295,45325,-75,-0.17%,17,-,-,45316,45342,45705,44800,,絃,,
2026/08/24,TX,202612  ,45595,45658,45000,45000,-508,-1.12%,16,45149,383,45141,45158,50228,27382,,,,
2026/08/24,TX,202612  ,45740,45740,45400,45400,-108,-0.24%,9,-,-,45427,45461,50228,27382,,絃,,
2026/08/24,TX,202703  ,-,-,-,-,-,-,0,45543,126,45534,45552,50802,32400,,,,
2026/08/24,TX,202703  ,-,-,-,-,-,-,0,-,-,45816,45856,50802,32400,,絃,,
2026/08/24,TX,202706  ,46486,46489,46486,46489,8,0.02%,3,46138,75,46124,46153,51411,41461,,,,
2026/08/24,TX,202706  ,46745,46745,46745,46745,264,0.57%,1,-,-,46376,46431,51411,41461,,絃,,
2026/08/20,TX,202609/202610    ,150,157,150,150,-,-,20,-,-,145,152,238,71,,,82,
2026/08/20,TX,202609/202610    ,142,146,142,146,-,-,16,-,-,147,155,238,71,,絃,116,
2026/08/20,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,273,280,-,-,,,11,
2026/08/20,TX,202609/202612    ,367,367,367,367,-,-,1,-,-,363,370,861,104,,,12,
2026/08/20,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,350,359,861,104,,絃,6,
2026/08/20,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,791,800,855,821,,,4,
2026/08/20,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,795,820,855,821,,絃,8,
2026/08/20,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1355,1369,1427,1427,,,2,
2026/08/20,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1350,1374,1427,1427,,絃,3,
2026/08/20,TX,202612/202703    ,-,-,-,-,-,-,0,-,-,421,-,843,329,,,2,
2026/08/20,TX,202703/202706    ,-,-,-,-,-,-,0,-,-,-,566,638,602,,,1,
2026/08/21,TX,202609/202610    ,153,153,134,140,-,-,12,-,-,143,146,238,71,,,83,
2026/08/21,TX,202609/202610    ,151,151,151,151,-,-,1,-,-,146,152,238,71,,絃,127,
2026/08/21,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,259,264,-,-,,,25,
2026/08/21,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,271,281,-,-,,絃,34,
2026/08/21,TX,202609/202612    ,360,360,360,360,-,-,1,-,-,365,366,861,104,,,4,
2026/08/21,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,369,385,861,104,,絃,4,
2026/08/21,TX,202609/202703    ,789,789,787,787,-,-,2,-,-,773,783,855,787,,,0,
2026/08/21,TX,202609/202703    ,-,-,-,-,-,-,0,-,-,785,805,855,821,,絃,1,
2026/08/21,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1328,1350,1427,1351,,,5,
2026/08/21,TX,202609/202706    ,1352,1352,1351,1351,-,-,2,-,-,1345,1385,1427,1351,,絃,0,
2026/08/21,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,113,-,-,-,,,2,
2026/08/21,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,118,-,-,-,,絃,1,
2026/08/21,TX,202611/202612    ,-,-,-,-,-,-,0,-,-,-,109,-,-,,絃,1,
2026/08/24,TX,202609/202610    ,150,151,149,149,-,-,73,-,-,148,149,238,71,,,98,
2026/08/24,TX,202609/202610    ,147,149,147,149,-,-,5,-,-,147,154,238,71,,絃,90,
2026/08/24,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,274,279,-,-,,,38,
2026/08/24,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,255,266,-,-,,絃,13,
2026/08/24,TX,202609/202612    ,371,371,369,369,-,-,4,-,-,381,390,861,104,,,12,
2026/08/24,TX,202609/202612    ,-,-,-,-,-,-,0,-,-,366,385,861,104,,絃,8,
2026/08/24,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1364,1385,1427,1351,,,3,
2026/08/24,TX,202609/202706    ,-,-,-,-,-,-,0,-,-,1315,1355,1427,1351,,絃,1,
2026/08/24,TX,202610/202611    ,-,-,-,-,-,-,0,-,-,103,-,-,-,,絃,1,
