交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/07/08,TX,202607  ,45606,45960,45240,45564,-131,-0.29%,75442,45563,96273,45545,45565,49240,36972,,一般,,
2026/07/08,TX,202607  ,45965,46003,44904,45207,-488,-1.07%,61514,-,-,45209,45229,49240,36972,,盤後,,
2026/07/08,TX,202608  ,45744,46222,45504,45824,-154,-0.33%,3791,45846,9627,45810,45835,49470,41300,,一般,,
2026/07/08,TX,202608  ,46234,46264,45175,45489,-489,-1.06%,1475,-,-,45466,45494,49470,41300,,盤後,,
2026/07/08,TX,202609  ,46203,46365,45700,46084,-159,-0.34%,57,46015,1586,46004,46026,49651,24962,,一般,,
2026/07/08,TX,202609  ,46232,46298,45450,45761,-482,-1.04%,31,-,-,45676,45714,49651,24962,,盤後,,
2026/07/08,TX,202612  ,46901,47222,46901,47126,34,0.07%,3,46846,307,46832,46861,50228,27382,,一般,,
2026/07/08,TX,202612  ,46600,46600,46394,46394,-698,-1.48%,3,-,-,46509,46570,50228,27382,,盤後,,
2026/07/08,TX,202703  ,-,-,-,-,-,-,0,47700,155,47685,47716,50802,32400,,一般,,
2026/07/08,TX,202703  ,-,-,-,-,-,-,0,-,-,47354,47409,50802,32400,,盤後,,
2026/07/08,TX,202706  ,48449,48449,48449,48449,-260,-0.53%,1,48492,19,48463,48521,51411,47571,,一般,,
2026/07/08,TX,202706  ,48550,48550,48079,48079,-630,-1.29%,3,-,-,48129,48224,51411,47571,,盤後,,
2026/07/09,TX,202607  ,46008,46158,45331,45678,115,0.25%,73407,45648,91340,45677,45682,49240,36972,,一般,,
2026/07/09,TX,202607  ,45458,45984,44575,45727,164,0.36%,72702,-,-,45730,45746,49240,36972,,盤後,,
2026/07/09,TX,202608  ,46261,46430,45650,45987,141,0.31%,7445,45960,15623,45997,46004,49470,41300,,一般,,
2026/07/09,TX,202608  ,45745,46225,44870,45962,116,0.25%,815,-,-,45980,46004,49470,41300,,盤後,,
2026/07/09,TX,202609  ,46431,46526,45803,46166,151,0.33%,468,46166,2009,46146,46157,49651,24962,,一般,,
2026/07/09,TX,202609  ,45852,46390,45073,46105,90,0.20%,69,-,-,46182,46213,49651,24962,,盤後,,
2026/07/09,TX,202612  ,46894,46894,46894,46894,48,0.10%,1,46950,310,46943,46958,50228,27382,,一般,,
2026/07/09,TX,202612  ,46118,46916,46118,46869,23,0.05%,13,-,-,46960,47035,50228,27382,,盤後,,
2026/07/09,TX,202703  ,47941,48004,47723,47948,248,0.52%,9,47822,157,47816,47828,50802,32400,,一般,,
2026/07/09,TX,202703  ,46917,47530,46917,47530,-170,-0.36%,3,-,-,47855,47893,50802,32400,,盤後,,
2026/07/09,TX,202706  ,48739,48739,48739,48739,247,0.51%,10,48617,20,48593,48641,51411,47571,,一般,,
2026/07/09,TX,202706  ,47774,48739,47694,48739,247,0.51%,14,-,-,48647,48731,51411,47571,,盤後,,
2026/07/13,TX,202607  ,46222,46378,45251,45617,-31,-0.07%,115784,45565,53129,45610,45622,49240,36972,,一般,,
2026/07/13,TX,202607  ,45800,46495,45701,46281,633,1.39%,45509,-,-,46240,46282,49240,36972,,盤後,,
2026/07/13,TX,202608  ,46465,46650,45654,45980,20,0.04%,54737,45926,56480,45969,45983,49470,41300,,一般,,
2026/07/13,TX,202608  ,46062,46760,46000,46522,562,1.22%,1383,-,-,46523,46566,49470,41300,,盤後,,
2026/07/13,TX,202609  ,46761,46778,45926,46131,-35,-0.08%,291,46131,2077,46173,46190,49651,24962,,一般,,
2026/07/13,TX,202609  ,46383,46920,46200,46664,498,1.08%,59,-,-,46684,46747,49651,24962,,盤後,,
2026/07/13,TX,202612  ,46966,47036,46700,46956,6,0.01%,10,46956,313,46933,46992,50228,27382,,一般,,
2026/07/13,TX,202612  ,47418,47636,47418,47619,669,1.42%,9,-,-,47450,47537,50228,27382,,盤後,,
2026/07/13,TX,202703  ,48382,48382,47762,47893,71,0.15%,10,47798,154,47775,47822,50802,32400,,一般,,
2026/07/13,TX,202703  ,47953,48033,47898,48020,198,0.41%,9,-,-,48335,48409,50802,32400,,盤後,,
2026/07/13,TX,202706  ,48548,48548,48548,48548,-69,-0.14%,1,48594,17,48547,48642,51411,47571,,一般,,
2026/07/13,TX,202706  ,49268,49268,49268,49268,651,1.34%,1,-,-,49140,49232,51411,47571,,盤後,,
2026/07/14,TX,202607  ,45046,45464,43852,44815,-750,-1.65%,126891,44790,20062,44796,44815,49240,36972,,一般,,
2026/07/14,TX,202607  ,45534,45888,45032,45058,-507,-1.11%,43394,-,-,45048,45059,49240,36972,,盤後,,
2026/07/14,TX,202608  ,45531,45800,44032,45135,-791,-1.72%,74254,45145,92298,45134,45150,49470,41300,,一般,,
2026/07/14,TX,202608  ,45926,46216,45391,45412,-514,-1.12%,4886,-,-,45400,45422,49470,41300,,盤後,,
2026/07/14,TX,202609  ,45673,46016,44320,45372,-759,-1.65%,90,45372,2087,45343,45365,49651,24962,,一般,,
2026/07/14,TX,202609  ,46229,46357,45703,45703,-428,-0.93%,47,-,-,45616,45658,49651,24962,,盤後,,
2026/07/14,TX,202612  ,46286,46286,45196,45196,-1760,-3.75%,21,46181,302,46024,46218,50228,27382,,一般,,
2026/07/14,TX,202612  ,47064,47075,46569,46569,-387,-0.82%,4,-,-,46348,46454,50228,27382,,盤後,,
2026/07/14,TX,202703  ,47500,47500,45699,46912,-886,-1.85%,33,47007,130,46993,47021,50802,32400,,一般,,
2026/07/14,TX,202703  ,47402,47402,47402,47402,-396,-0.83%,1,-,-,47209,47269,50802,32400,,盤後,,
2026/07/14,TX,202706  ,48041,48041,46792,47638,-956,-1.97%,16,47846,22,47819,47874,51411,46792,,一般,,
2026/07/14,TX,202706  ,-,-,-,-,-,-,0,-,-,48041,48099,51411,47571,,盤後,,
2026/07/15,TX,202607  ,45353,45842,45033,45830,1040,2.32%,30555,0,10992,45827,45830,49240,36972,,一般,,
2026/07/15,TX,202607  ,44778,45350,44648,45015,225,0.50%,35067,-,-,45021,45042,49240,36972,,盤後,,
2026/07/15,TX,202608  ,45652,46169,45406,46050,905,2.00%,45252,46066,101230,46047,46051,49470,41300,,一般,,
2026/07/15,TX,202608  ,45113,45630,45000,45399,254,0.56%,7786,-,-,45372,45400,49470,41300,,盤後,,
2026/07/15,TX,202609  ,45879,46320,45630,46277,905,1.99%,123,46277,2116,46263,46270,49651,24962,,一般,,
2026/07/15,TX,202609  ,45389,45819,45340,45633,261,0.58%,71,-,-,45552,45614,49651,24962,,盤後,,
2026/07/15,TX,202612  ,46977,47100,46977,47058,877,1.90%,9,47032,304,47027,47038,50228,27382,,一般,,
2026/07/15,TX,202612  ,46079,46494,46042,46494,313,0.68%,7,-,-,46244,46413,50228,27382,,盤後,,
2026/07/15,TX,202703  ,47007,-,-,47007,0,0.00%,4,47876,129,47869,47883,50802,32400,,一般,,
2026/07/15,TX,202703  ,47155,47155,47155,47155,148,0.31%,1,-,-,46781,47249,50802,32400,,盤後,,
2026/07/15,TX,202706  ,48287,48696,48287,48696,850,1.78%,2,48696,21,48677,48704,51411,46792,,一般,,
2026/07/15,TX,202706  ,-,-,-,-,-,-,0,-,-,47901,48054,51411,46792,,盤後,,
2026/07/16,TX,202608  ,45519,46248,45191,45700,-366,-0.79%,70808,45691,106669,45694,45722,49470,41300,,一般,,
2026/07/16,TX,202608  ,46120,46260,45216,45817,-249,-0.54%,53394,-,-,45815,45830,49470,41300,,盤後,,
2026/07/16,TX,202609  ,45882,46477,45488,45949,-328,-0.71%,397,45967,2213,45948,45982,49651,24962,,一般,,
2026/07/16,TX,202609  ,46277,46412,45500,46096,-181,-0.39%,275,-,-,46071,46093,49651,24962,,盤後,,
2026/07/16,TX,202610  ,46067,46770,46057,46300,-267,-0.57%,23,46275,15,46259,46292,46770,46057,,一般,,
2026/07/16,TX,202612  ,46890,47196,46890,47196,164,0.35%,14,46761,306,46744,46779,50228,27382,,一般,,
2026/07/16,TX,202612  ,47175,47175,46418,46472,-560,-1.19%,21,-,-,46810,46910,50228,27382,,盤後,,
2026/07/16,TX,202703  ,47808,47938,47808,47938,62,0.13%,5,47621,126,47601,47641,50802,32400,,一般,,
2026/07/16,TX,202703  ,47490,47490,47490,47490,-386,-0.81%,1,-,-,47665,47745,50802,32400,,盤後,,
2026/07/16,TX,202706  ,48457,48457,48457,48457,-239,-0.49%,1,48415,23,48389,48442,51411,46792,,一般,,
2026/07/16,TX,202706  ,48725,48736,48221,48221,-475,-0.98%,5,-,-,48495,48550,51411,46792,,盤後,,
2026/07/17,TX,202608  ,44250,44512,42527,42725,-2966,-6.49%,103520,42604,110864,42696,42728,49470,41300,,一般,,
2026/07/17,TX,202608  ,45450,45450,44464,44715,-976,-2.14%,57782,-,-,44708,44715,49470,41300,,盤後,,
2026/07/17,TX,202609  ,44506,44768,42800,42975,-2992,-6.51%,548,42873,2482,42953,42990,49651,24962,,一般,,
2026/07/17,TX,202609  ,45709,45709,44739,44946,-1021,-2.22%,329,-,-,44966,44979,49651,24962,,盤後,,
2026/07/17,TX,202610  ,44842,44955,43856,43856,-2419,-5.23%,36,43325,38,43306,43345,46770,43856,,一般,,
2026/07/17,TX,202610  ,45678,45678,45092,45280,-995,-2.15%,37,-,-,45287,45302,46770,45092,,盤後,,
2026/07/17,TX,202612  ,45214,45499,43814,43814,-2947,-6.30%,34,43850,311,43828,43872,50228,27382,,一般,,
2026/07/17,TX,202612  ,46021,46114,45595,45661,-1100,-2.35%,17,-,-,45758,45795,50228,27382,,盤後,,
2026/07/17,TX,202703  ,45807,45807,44700,44700,-2921,-6.13%,8,44700,114,44680,44728,50802,32400,,一般,,
2026/07/17,TX,202703  ,46911,46911,46391,46491,-1130,-2.37%,25,-,-,46608,46645,50802,32400,,盤後,,
2026/07/17,TX,202706  ,46842,46842,45840,45840,-2575,-5.32%,16,45520,31,45491,45549,51411,45840,,一般,,
